id_pesagem,id_animal,brinco,raca,lote,data_pesagem,dias_conf,peso_kg,gmd_periodo,arroba_atual,preco_arroba_rs,valor_mercado_rs
1,1,BR0001,Nelore,3,2024-07-01,0,293.0,1.259,9.77,225.65,2204.6
1171,144,BR0144,Brahman,8,2024-07-01,0,302.1,1.127,10.07,225.65,2272.3
2490,303,BR0303,Cruzado Nelore,10,2024-07-01,0,317.7,1.224,10.59,225.65,2389.63
1523,188,BR0188,Angus,6,2024-07-01,0,351.3,1.341,11.71,225.65,2642.36
2483,302,BR0302,Nelore,10,2024-07-01,0,318.0,1.277,10.6,225.65,2391.89
2476,301,BR0301,Cruzado Nelore,4,2024-07-01,0,337.4,1.231,11.25,225.65,2538.56
578,71,BR0071,Nelore,10,2024-07-01,0,340.5,1.02,11.35,225.65,2561.13
2471,300,BR0300,Cruzado Nelore,9,2024-07-01,0,364.4,1.264,12.15,225.65,2741.65
1529,189,BR0189,Simental,10,2024-07-01,0,345.7,1.155,11.52,225.65,2599.49
2461,299,BR0299,Nelore,3,2024-07-01,0,305.1,0.701,10.17,225.65,2294.86
586,72,BR0072,Nelore,10,2024-07-01,0,304.2,1.416,10.14,225.65,2288.09
2454,298,BR0298,Nelore,10,2024-07-01,0,324.8,0.944,10.83,225.65,2443.79
3633,438,BR0438,Angus,6,2024-07-01,0,367.2,1.871,12.24,225.65,2761.96
593,73,BR0073,Simental,6,2024-07-01,0,322.1,1.183,10.74,225.65,2423.48
2444,297,BR0297,Nelore,7,2024-07-01,0,290.1,1.074,9.67,225.65,2182.04
3638,439,BR0439,Brahman,9,2024-07-01,0,317.1,1.144,10.57,225.65,2385.12
600,74,BR0074,Cruzado Nelore,7,2024-07-01,0,309.4,1.415,10.31,225.65,2326.45
1163,143,BR0143,Cruzado Nelore,1,2024-07-01,0,342.1,1.074,11.4,225.65,2572.41
567,70,BR0070,Brahman,1,2024-07-01,0,260.4,1.104,8.68,225.65,1958.64
2433,296,BR0296,Nelore,9,2024-07-01,0,304.4,0.827,10.15,225.65,2290.35
2498,304,BR0304,Angus,9,2024-07-01,0,371.8,1.743,12.39,225.65,2795.8
561,69,BR0069,Angus,3,2024-07-01,0,340.6,1.373,11.35,225.65,2561.13
2555,311,BR0311,Cruzado Nelore,5,2024-07-01,0,302.8,1.393,10.09,225.65,2276.81
1704,210,BR0210,Cruzado Nelore,2,2024-07-01,0,324.5,0.82,10.82,225.65,2441.53
4048,488,BR0488,Nelore,7,2024-07-01,0,333.5,1.008,11.12,225.65,2509.23
2549,310,BR0310,Cruzado Nelore,2,2024-07-01,0,337.0,1.478,11.23,225.65,2534.05
3853,464,BR0464,Simental,4,2024-07-01,0,359.8,1.351,11.99,225.65,2705.54
534,66,BR0066,Brahman,6,2024-07-01,0,273.5,0.78,9.12,225.65,2057.93
2543,309,BR0309,Cruzado Nelore,4,2024-07-01,0,325.0,1.417,10.83,225.65,2443.79
3619,436,BR0436,Simental,2,2024-07-01,0,360.4,1.158,12.01,225.65,2710.06
1510,186,BR0186,Cruzado Nelore,4,2024-07-01,0,333.9,1.312,11.13,225.65,2511.48
2531,308,BR0308,Nelore,5,2024-07-01,0,299.4,0.875,9.98,225.65,2251.99
546,67,BR0067,Brahman,5,2024-07-01,0,295.2,1.237,9.84,225.65,2220.4
2521,307,BR0307,Nelore,6,2024-07-01,0,279.0,0.942,9.3,225.65,2098.54
3625,437,BR0437,Nelore,6,2024-07-01,0,334.9,1.077,11.16,225.65,2518.25
1517,187,BR0187,Cruzado Nelore,9,2024-07-01,0,324.0,1.469,10.8,225.65,2437.02
4038,487,BR0487,Nelore,8,2024-07-01,0,304.7,0.924,10.16,225.65,2292.6
554,68,BR0068,Angus,5,2024-07-01,0,332.8,1.324,11.09,225.65,2502.46
2512,306,BR0306,Angus,3,2024-07-01,0,341.5,0.764,11.38,225.65,2567.9
2503,305,BR0305,Cruzado Nelore,7,2024-07-01,0,305.3,1.103,10.18,225.65,2297.12
3924,472,BR0472,Cruzado Nelore,7,2024-07-01,0,305.2,1.127,10.17,225.65,2294.86
607,75,BR0075,Brahman,3,2024-07-01,0,330.1,0.965,11.0,225.65,2482.15
2426,295,BR0295,Nelore,4,2024-07-01,0,356.8,1.03,11.89,225.65,2682.98
