id_evento,id_animal,brinco,data_evento,tipo,produto,dose_ml,custo_unit,custo_total
1,1,BR0001,2024-08-01,vacina,Febre Aftosa,4.9,4.5,22.05
2,1,BR0001,2025-01-01,vacina,Febre Aftosa,2.9,4.5,13.05
3,1,BR0001,2024-08-01,vacina,Brucelose,3.3,6.2,20.46
4,1,BR0001,2025-01-01,vacina,Brucelose,3.9,6.2,24.18
5,1,BR0001,2024-08-01,vacina,Raiva,2.1,3.8,7.98
6,1,BR0001,2025-01-01,vacina,Raiva,4.4,3.8,16.72
7,1,BR0001,2024-07-01,vermifugacao,Ivermectina,7.8,8.9,69.42
8,1,BR0001,2024-09-29,vermifugacao,Ivermectina,5.3,8.9,47.17
9,1,BR0001,2024-12-28,vermifugacao,Ivermectina,5.6,8.9,49.84
10,1,BR0001,2025-03-28,vermifugacao,Doramectina,8.4,11.2,94.08
11,1,BR0001,2025-06-26,vermifugacao,Ivermectina,6.5,8.9,57.85
12,1,BR0001,2025-09-24,vermifugacao,Ivermectina,8.5,8.9,75.65
13,2,BR0002,2024-08-01,vacina,Febre Aftosa,3.2,4.5,14.4
14,2,BR0002,2025-01-01,vacina,Febre Aftosa,3.1,4.5,13.95
15,2,BR0002,2024-08-01,vacina,Brucelose,2.7,6.2,16.74
16,2,BR0002,2025-01-01,vacina,Brucelose,4.0,6.2,24.8
17,2,BR0002,2024-08-01,vacina,Raiva,4.9,3.8,18.62
18,2,BR0002,2025-01-01,vacina,Raiva,2.5,3.8,9.5
19,2,BR0002,2024-07-01,vermifugacao,Ivermectina,5.4,8.9,48.06
20,2,BR0002,2024-09-29,vermifugacao,Doramectina,7.2,11.2,80.64
21,2,BR0002,2024-12-28,vermifugacao,Doramectina,7.6,11.2,85.12
22,2,BR0002,2025-03-28,vermifugacao,Ivermectina,7.4,8.9,65.86
23,2,BR0002,2025-06-26,vermifugacao,Doramectina,9.3,11.2,104.16
24,2,BR0002,2025-09-24,vermifugacao,Ivermectina,5.9,8.9,52.51
