data;preco_rs;preco_usd;produto
2020-01-02;88,08;21,89;soja
2020-01-03;88,91;21,94;soja
2020-01-06;88,24;21,68;soja
2020-01-07;88,02;21,68;soja
2020-01-08;88,13;21,76;soja
2020-01-09;88,19;21,58;soja
2020-01-10;88,06;21,58;soja
2020-01-13;88,56;21,41;soja
2020-01-14;88,96;21,55;soja
2020-01-15;88,75;21,25;soja
2020-01-16;87,53;20,87;soja
2020-01-17;87,4;21,01;soja
2020-01-20;87,66;20,93;soja
2020-01-21;87,67;20,87;soja
2020-01-22;87,41;20,93;soja
2020-01-23;86,23;20,7;soja
2020-01-24;86,0;20,55;soja
2020-01-27;85,93;20,44;soja
2020-01-28;85,81;20,46;soja
2020-01-29;85,99;20,37;soja
2020-01-30;85,75;20,12;soja
2020-01-31;85,33;19,92;soja
2020-02-03;84,73;19,94;soja
2020-02-04;85,13;20,0;soja
2020-02-05;85,57;20,16;soja
2020-02-06;85,7;20,04;soja
2020-02-07;86,79;20,1;soja
2020-02-10;87,09;20,13;soja
2020-02-11;87,31;20,18;soja
2020-02-12;87,69;20,17;soja
2020-02-13;88,34;20,34;soja
2020-02-14;88,57;20,6;soja
2020-02-17;87,6;20,25;soja
2020-02-18;88,69;20,35;soja
2020-02-19;88,54;20,27;soja
2020-02-20;89,06;20,3;soja
2020-02-21;88,8;20,23;soja
2020-02-26;88,66;19,97;soja
2020-02-27;88,84;19,88;soja
2020-02-28;89,86;20,0;soja
2020-03-02;90,3;20,13;soja
2020-03-03;90,83;20,14;soja
2020-03-04;91,57;20,0;soja
2020-03-05;92,37;19,87;soja
2020-03-06;92,8;20,05;soja
2020-03-09;92,55;19,51;soja
2020-03-10;92,32;19,88;soja
2020-03-11;92,86;19,62;soja
2020-03-12;93,23;19,35;soja
2020-03-13;92,18;19,0;soja
2020-03-16;93,18;18,53;soja
2020-03-17;94,56;18,91;soja
2020-03-18;94,69;18,11;soja
2020-03-19;95,84;18,8;soja
2020-03-20;96,7;19,15;soja
2020-03-23;96,4;18,76;soja
2020-03-24;98,01;19,25;soja
2020-03-25;99,69;19,89;soja
2020-03-26;98,55;19,69;soja
2020-03-27;98,82;19,54;soja
2020-03-30;100,66;19,45;soja
2020-03-31;101,21;19,48;soja
2020-04-01;101,37;19,27;soja
2020-04-02;101,14;19,21;soja
2020-04-03;101,48;19,09;soja
2020-04-06;101,4;19,12;soja
2020-04-07;101,21;19,4;soja
2020-04-08;101,16;19,64;soja
2020-04-09;100,07;19,62;soja
2020-04-13;101,44;19,59;soja
2020-04-14;101,08;19,49;soja
2020-04-15;101,17;19,32;soja
2020-04-16;100,47;19,1;soja
2020-04-17;100,93;19,25;soja
2020-04-20;101,45;19,12;soja
2020-04-22;102,41;18,94;soja
2020-04-23;103,56;18,82;soja
2020-04-24;106,16;18,72;soja
2020-04-27;106,61;18,67;soja
2020-04-28;105,49;19,19;soja
2020-04-29;103,77;19,37;soja
2020-04-30;103,58;19,02;soja
2020-05-04;105,66;19,08;soja
2020-05-05;105,8;18,9;soja
2020-05-06;107,86;18,92;soja
2020-05-07;110,64;18,89;soja
2020-05-08;111,42;19,38;soja
2020-05-11;112,84;19,34;soja
2020-05-12;113,95;19,44;soja
2020-05-13;115,27;19,49;soja
2020-05-14;116,27;19,92;soja
2020-05-15;115,83;19,86;soja
2020-05-18;113,19;19,81;soja
2020-05-19;111,76;19,49;soja
2020-05-20;111,31;19,61;soja
2020-05-21;111,68;20,04;soja
2020-05-22;109,84;19,68;soja
2020-05-25;108,7;19,93;soja
2020-05-26;106,35;19,92;soja
2020-05-27;105,89;20,01;soja
2020-05-28;106,39;19,84;soja
2020-05-29;107,51;20,13;soja
2020-06-01;107,78;20,04;soja
2020-06-02;107,52;20,6;soja
2020-06-03;105,69;20,85;soja
2020-06-04;108,25;21,16;soja
2020-06-05;107,27;21,59;soja
2020-06-08;104,97;21,55;soja
2020-06-09;102,75;21,07;soja
2020-06-10;103,17;20,98;soja
2020-06-12;105,74;20,9;soja
2020-06-15;108,26;21,02;soja
2020-06-16;109,8;21,01;soja
2020-06-17;111,0;21,08;soja
2020-06-18;113,52;21,08;soja
2020-06-19;114,81;21,64;soja
2020-06-22;112,91;21,43;soja
2020-06-23;111,92;21,75;soja
2020-06-24;111,97;21,06;soja
2020-06-25;112,67;21,16;soja
2020-06-26;114,99;21,03;soja
2020-06-29;114,71;21,1;soja
2020-06-30;115,32;21,2;soja
2020-07-01;115,97;21,84;soja
2020-07-02;114,44;21,38;soja
2020-07-03;114,93;21,62;soja
2020-07-06;115,83;21,68;soja
2020-07-07;115,9;21,54;soja
2020-07-08;116,02;21,71;soja
2020-07-09;116,0;21,74;soja
2020-07-10;115,86;21,78;soja
2020-07-13;113,87;21,2;soja
2020-07-14;115,01;21,53;soja
2020-07-15;115,09;21,38;soja
2020-07-16;115,5;21,69;soja
2020-07-17;116,0;21,54;soja
2020-07-20;116,77;21,89;soja
2020-07-21;116,56;22,43;soja
2020-07-22;114,85;22,44;soja
2020-07-23;116,08;22,3;soja
2020-07-24;117,53;22,56;soja
2020-07-27;117,28;22,69;soja
2020-07-28;117,09;22,72;soja
2020-07-29;116,03;22,44;soja
2020-07-30;117,52;22,79;soja
2020-07-31;119,12;22,85;soja
2020-08-03;120,14;22,54;soja
2020-08-04;120,55;22,75;soja
2020-08-05;120,94;22,83;soja
2020-08-06;124,31;23,22;soja
2020-08-07;123,2;22,73;soja
2020-08-10;123,21;22,57;soja
2020-08-11;124,05;22,95;soja
2020-08-12;124,9;22,9;soja
2020-08-13;126,23;23,51;soja
2020-08-14;127,26;23,44;soja
2020-08-17;129,67;23,56;soja
2020-08-18;131,09;23,97;soja
2020-08-19;131,12;23,74;soja
2020-08-20;133,2;23,97;soja
2020-08-21;132,8;23,68;soja
2020-08-24;131,88;23,55;soja
2020-08-25;132,98;24,07;soja
2020-08-26;133,72;23,88;soja
2020-08-27;134,79;24,2;soja
2020-08-28;136,63;25,26;soja
2020-08-31;137,76;25,16;soja
2020-09-01;137,22;25,47;soja
2020-09-02;136,57;25,5;soja
2020-09-03;136,68;25,84;soja
2020-09-04;134,08;25,27;soja
2020-09-08;135,17;25,22;soja
2020-09-09;136,68;25,84;soja
2020-09-10;135,83;25,55;soja
2020-09-11;137,4;25,76;soja
2020-09-14;136,33;25,83;soja
2020-09-15;136,98;25,91;soja
2020-09-16;138,46;26,42;soja
2020-09-17;139,16;26,57;soja
2020-09-18;139,1;25,92;soja
2020-09-21;144,52;26,75;soja
2020-09-22;147,33;26,96;soja
2020-09-23;149,85;26,87;soja
2020-09-24;150,86;27,35;soja
2020-09-25;146,63;26,45;soja
2020-09-28;148,76;26,4;soja
2020-09-29;149,45;26,52;soja
2020-09-30;148,12;26,37;soja
2020-10-01;152,24;26,94;soja
2020-10-02;151,86;26,84;soja
2020-10-05;156,02;28,06;soja
2020-10-06;155,64;27,79;soja
2020-10-07;159,22;28,35;soja
2020-10-08;159,88;28,61;soja
2020-10-09;155,85;28,17;soja
2020-10-13;157,73;28,3;soja
2020-10-14;157,66;28,14;soja
2020-10-15;157,01;27,98;soja
2020-10-16;159,44;28,24;soja
2020-10-19;157,91;28,18;soja
2020-10-20;161,05;28,77;soja
2020-10-21;159,47;28,44;soja
2020-10-22;164,13;29,32;soja
