ds;tipo;preco
2020-01-01;real;193,0477272727273
2020-02-01;real;197,05277777777778
2020-03-01;real;200,3590909090909
2020-04-01;real;199,5675
2020-05-01;real;201,20999999999998
2020-06-01;real;209,86666666666665
2020-07-01;real;221,3630434782609
2020-08-01;real;228,47619047619048
2020-09-01;real;248,49523809523808
2020-10-01;real;264,6452380952381
2020-11-01;real;285,325
2020-12-01;real;266,125
2021-01-01;real;289,01
2021-02-01;real;301,7277777777778
2021-03-01;real;309,3391304347826
2021-04-01;real;316,06
2021-05-01;real;310,4738095238095
2021-06-01;real;317,2761904761905
2021-07-01;real;318,62619047619046
2021-08-01;real;315,1272727272727
2021-09-01;real;302,05
2021-10-01;real;269,5625
2021-11-01;real;297,65749999999997
2021-12-01;real;320,9
2022-01-01;real;338,45714285714286
2022-02-01;real;340,2921052631579
2022-03-01;real;344,70909090909095
2022-04-01;real;335,06315789473683
2022-05-01;real;323,0954545454545
2022-06-01;real;317,9642857142857
2022-07-01;real;324,40714285714284
2022-08-01;real;313,3934782608696
2022-09-01;real;303,3452380952381
2022-10-01;real;296,7375
2022-11-01;real;283,35
2022-12-01;real;292,09761904761905
2023-01-01;real;285,97272727272724
2023-02-01;real;289,71944444444443
2023-03-01;real;281,79782608695655
2023-04-01;real;285,80555555555554
2023-05-01;real;263,83181818181816
2023-06-01;real;248,7952380952381
2023-07-01;real;250,8095238095238
2023-08-01;real;220,3608695652174
2023-09-01;real;212,51500000000001
2023-10-01;real;237,8357142857143
2023-11-01;real;234,8675
2023-12-01;real;248,6315789473684
2024-01-01;real;249,65
2024-02-01;real;237,83684210526314
2024-03-01;real;232,80749999999998
2024-04-01;real;230,50681818181818
2024-05-01;real;226,92142857142858
2024-06-01;real;220,70250000000001
2024-07-01;real;229,27391304347827
2024-08-01;real;235,0727272727273
2024-09-01;real;255,45238095238096
2024-10-01;real;301,1347826086957
2024-11-01;real;338,7552631578948
2024-12-01;real;320,32631578947365
2025-01-01;real;324,9522727272727
2025-02-01;real;319,2075
2025-03-01;real;312,46578947368425
2025-04-01;real;323,9575
2025-05-01;real;308,1547619047619
2025-06-01;real;313,51
2025-07-01;real;299,96956521739133
2025-08-01;real;307,25
2025-09-01;real;307,8727272727273
2025-10-01;real;310,5108695652174
2025-11-01;real;322,0815789473684
2025-12-01;real;320,27750000000003
2026-01-01;real;320,59761904761905
2026-02-01;real;342,25
2026-03-01;real;350,17727272727274
2026-04-01;previsao;336,23266381899197
2026-05-01;previsao;326,02948990034844
2026-06-01;previsao;322,94438553447503
