ds;tipo;preco
2020-01-01;real;87,39136363636364
2020-02-01;real;87,60944444444445
2020-03-01;real;94,96909090909092
2020-04-01;real;102,2975
2020-05-01;real;110,40799999999999
2020-06-01;real;109,76285714285714
2020-07-01;real;116,05434782608695
2020-08-01;real;128,59190476190474
2020-09-01;real;141,1990476190476
2020-10-01;real;159,6352380952381
2020-11-01;real;164,9925
2020-12-01;real;152,5625
2021-01-01;real;167,865
2021-02-01;real;166,38333333333333
2021-03-01;real;171,86652173913043
2021-04-01;real;177,098
2021-05-01;real;176,39380952380952
2021-06-01;real;162,0757142857143
2021-07-01;real;167,59681818181818
2021-08-01;real;171,05772727272728
2021-09-01;real;172,7342857142857
2021-10-01;real;171,167
2021-11-01;real;165,7935
2021-12-01;real;170,25190476190477
2022-01-01;real;179,6652380952381
2022-02-01;real;195,02
2022-03-01;real;199,60227272727272
2022-04-01;real;186,3621052631579
2022-05-01;real;193,38090909090909
2022-06-01;real;194,96952380952382
2022-07-01;real;190,74428571428572
2022-08-01;real;187,1795652173913
2022-09-01;real;187,26380952380953
2022-10-01;real;183,728
2022-11-01;real;186,1275
2022-12-01;real;182,05333333333334
2023-01-01;real;177,03181818181818
2023-02-01;real;172,6061111111111
2023-03-01;real;162,12478260869565
2023-04-01;real;145,23666666666668
2023-05-01;real;138,10909090909092
2023-06-01;real;136,45238095238096
2023-07-01;real;146,84047619047618
2023-08-01;real;148,5486956521739
2023-09-01;real;147,1915
2023-10-01;real;144,09428571428572
2023-11-01;real;144,0445
2023-12-01;real;145,97052631578947
2024-01-01;real;126,93272727272728
2024-02-01;real;117,63526315789474
2024-03-01;real;121,90650000000001
2024-04-01;real;126,79363636363637
2024-05-01;real;136,00428571428571
2024-06-01;real;138,9195
2024-07-01;real;138,09130434782608
2024-08-01;real;133,21363636363637
2024-09-01;real;139,9038095238095
2024-10-01;real;141,83260869565217
2024-11-01;real;143,4073684210526
2024-12-01;real;141,16947368421052
2025-01-01;real;134,62181818181818
2025-02-01;real;131,568
2025-03-01;real;133,49
2025-04-01;real;134,68
2025-05-01;real;133,0961904761905
2025-06-01;real;134,39600000000002
2025-07-01;real;136,8913043478261
2025-08-01;real;140,5004761904762
2025-09-01;real;138,7740909090909
2025-10-01;real;137,86304347826086
2025-11-01;real;140,47263157894736
2025-12-01;real;142,0135
2026-01-01;real;130,98285714285714
2026-02-01;real;126,32944444444443
2026-03-01;real;129,37545454545455
2026-04-01;previsao;129,38798304527236
2026-05-01;previsao;131,77514001919675
2026-06-01;previsao;129,6643387701083
